"name";"pk";"t"
"Lom1 Cpx1 33 ";48,3633501367137;896,655593616098
"Lom1 Cpx1 109 ";46,0797990301096;905,337376025869
"Lom1 Cpx1 191 ";48,6113140617835;916,096846600677
"Lom1 Cpx1 153 ";47,7599485599718;917,089556805778
"L-1 Cpx 65 ";49,841685685935;924,865755595975
"Lom1 Cpx1 125 ";46,1135160599493;928,599846687878
"Lom1 Cpx1 77 ";46,7156741745159;929,055385876518
"L-1 Cpx 168 ";45,4748502332077;931,865644326033
"L-1 Cpx 188 ";47,4773216134271;948,898326322163
"L-1 Cpx 246 ";46,3133165974345;949,23451286344
"Lom1 Cpx1 267 ";49,444767692191;949,986266009801
"L-1 Cpx 41 ";47,5211309871566;950,084104101272
"Lom1 Cpx1 29 ";49,4905693363878;952,609600141867
"L-1 Cpx 118 ";47,662125480846;952,989121525744
"L-1 Cpx 161 ";50,1076443708097;954,796691032677
"L-1 Cpx 108 ";48,5104704908667;957,38992867081
"Lom1 Cpx1 67 ";48,7484591105297;958,073864671853
"L-1 Cpx 225 ";48,8769159248567;962,429053106378
"Lom1 Cpx1 251 ";45,13738116638;966,428585635397
"Lom1 Cpx1 68 ";50,6252837988777;971,010504406513
"Lom1 Cpx1 182 ";53,1669259922939;971,314351732757
"Lom1 Cpx1 271 ";54,1740450178463;974,858353043113
"Lom1 Cpx1 264 ";51,3252535751084;975,881236583627
"Lom1 Cpx1 163 ";49,698337486351;978,044342039421
"L-1 Cpx 273 ";49,2164924968541;979,043412647089
"Lom1 Cpx1 217 ";54,2185267534008;981,690402395605
"Lom1 Cpx1 261 ";53,1142277605639;983,664503686421
"L-1 Cpx 21 ";51,6400029509128;985,074488530665
"Lom1 Cpx1 142 ";52,4687880927209;988,354494879062
"Lom1 Cpx1 165 ";49,7186694529329;989,755066580628
"Lom1 Cpx1 118 ";46,0436588641528;991,536970784534
"Lom1 Cpx1 46 ";46,5571048268817;993,386406764459
"L-1 Cpx 272 ";47,0658838615544;994,937517430887
"Lom1 Cpx1 114 ";48,4422347520273;996,426830248582
"Lom1 Cpx1 4 ";52,3103296672661;1000,68904193552
